829 819
665 319 -421
434 729 -788
134 46 -427
705 117 818
177 659 33
492 443 934
333 819 210
212 65 340
404 248 814
133 475 -664
731 366 702
275 267 225
679 610 218
704 145 931
640 760 -616
545 429 315
41 758 -526
783 665 784
438 415 30
634 580 685
36 157 -288
494 451 -536
257 799 581
767 43 806
265 695 -442
723 286 -286
308 192 752
6 491 -682
744 37 268
45 150 807
26 220 171
312 811 -568
62 815 805
110 380 867
807 776 225
321 88 990
235 9 865
354 797 26
571 818 396
54 730 418
73 763 21
12 439 -77
479 348 -971
724 178 -718
439 33 -267
338 115 -127
194 371 -339
746 8 -254
825 79 989
802 694 -731
560 468 -758
760 529 -533
459 369 -589
226 690 432
329 67 -756
467 476 -314
560 449 -260
586 788 -262
447 340 521
522 824 589
194 258 686
120 694 -567
731 305 356
585 128 -433
369 469 -995
179 290 796
478 51 -604
2 204 -5
31 601 -976
469 821 -541
451 381 386
530 418 53
385 306 29
397 205 -371
317 278 683
423 129 -47
175 628 872
395 365 732
588 438 573
602 312 918
557 139 458
664 329 248
635 75 214
684 613 358
777 816 385
284 524 -110
8 417 853
646 590 769
470 478 -781
359 483 -831
426 488 -274
36 227 -864
309 477 -458
205 620 447
821 55 -299
52 705 538
592 655 -663
726 651 181
766 193 96
675 346 324
697 75 14
126 651 50
325 66 -590
758 715 724
283 720 -735
678 123 432
522 459 -990
801 532 765
612 230 203
217 146 -196
5 217 59
244 570 831
237 36 -375
762 292 567
642 537 354
550 421 -185
98 140 -542
257 669 803
334 331 -576
598 577 -740
740 245 -924
333 728 721
422 481 767
716 462 525
288 700 796
309 190 -91
208 118 15
330 587 -187
592 278 -717
637 81 -75
24 460 -666
730 743 786
215 751 -760
277 22 679
212 724 193
495 756 428
683 27 320
366 369 788
546 395 276
288 760 731
548 392 -71
597 583 806
366 144 -771
166 396 -572
25 652 789
680 572 38
576 164 498
680 562 19
277 592 -833
623 254 -321
127 178 460
707 596 956
288 151 355
731 583 -26
15 685 -66
340 367 -428
824 478 -950
326 83 -247
811 451 -838
43 535 727
648 756 -686
323 347 -119
9 536 -721
28 640 -461
25 573 -686
792 32 11
65 276 -231
519 256 -990
1 174 391
124 663 928
352 708 643
692 679 221
236 75 799
16 457 639
66 607 -473
776 87 -61
283 343 444
420 63 -155
467 345 323
717 10 -649
200 577 -438
127 710 -4
651 597 -765
607 556 60
134 455 700
122 393 121
715 525 -746
459 540 856
285 431 615
36 10 210
106 416 -194
770 792 932
771 132 -946
733 451 -945
767 722 -111
509 263 -741
677 598 -195
713 629 103
704 709 747
175 765 -151
714 482 263
711 73 383
764 402 108
639 125 285
384 172 690
521 247 -775
458 691 -878
67 435 -159
316 446 -229
683 702 199
118 683 815
21 714 -982
629 745 441
775 695 -700
54 395 181
98 104 -567
5 247 476
762 419 542
323 288 993
153 487 -338
149 498 989
478 421 730
80 148 -248
427 360 -100
38 422 -219
207 649 -728
364 65 -61
327 127 -269
359 296 -981
502 153 220
615 503 -15
679 134 -306
786 171 -426
15 133 -113
49 640 125
346 511 519
646 579 942
752 370 60
141 623 563
637 682 38
483 9 -163
29 752 920
58 145 -469
404 675 205
88 642 -720
110 760 -390
633 334 580
526 359 -709
112 204 123
799 35 -400
306 490 -623
30 718 264
786 446 599
632 559 643
597 535 -184
368 123 631
59 160 -220
378 358 224
66 179 -11
736 505 720
313 61 247
770 466 -1000
489 346 277
302 647 958
178 262 432
818 171 407
807 143 759
643 543 645
249 181 -925
80 537 -892
1 763 692
363 630 -943
752 268 -99
651 436 -723
429 600 -503
213 347 185
607 93 446
139 814 529
696 603 -610
726 642 -732
131 157 -710
256 327 -648
732 750 -261
439 297 564
171 497 -570
822 56 -123
504 240 36
729 389 -107
73 728 244
80 697 -331
458 209 -932
300 173 -674
780 309 -726
443 429 37
337 388 -342
82 748 506
778 235 -514
701 282 -19
572 508 895
794 301 -773
528 614 872
299 466 586
342 199 -805
461 645 -680
760 447 -346
752 616 719
671 283 -556
645 220 -35
796 111 -260
329 135 -752
510 216 -269
828 688 -749
633 447 -790
294 731 -522
122 378 630
738 347 -369
740 535 523
475 659 -679
813 805 727
742 78 -273
357 535 -547
609 53 932
809 206 795
694 292 -800
656 389 781
187 697 -304
762 66 302
296 663 -862
436 468 -524
619 419 -978
603 530 -76
276 26 -687
729 248 678
566 659 331
701 208 -570
461 255 194
227 749 -208
753 160 362
800 728 -920
283 358 59
50 21 -869
578 634 -133
133 691 -420
118 77 -880
101 310 498
