874 2487
376 417 146
205 866 654
715 640 121
549 500 81
284 181 434
669 489 836
710 498 666
763 131 29
710 337 520
205 802 123
746 853 348
517 863 171
558 289 120
250 288 698
686 149 891
212 760 82
491 740 412
771 291 326
114 67 608
433 578 985
135 389 687
868 503 452
185 95 953
630 840 491
253 715 687
494 631 398
846 240 153
810 613 726
434 797 688
795 110 303
101 783 114
414 22 63
781 809 152
307 217 401
178 638 770
525 185 423
64 353 975
116 573 998
324 200 173
106 556 363
451 544 259
93 553 100
449 137 761
629 706 944
414 267 883
743 786 962
80 710 606
416 565 687
429 35 522
580 170 79
757 371 182
594 280 376
874 67 192
659 646 343
263 96 355
717 375 248
610 223 501
706 768 245
401 61 981
486 833 260
752 453 295
829 4 675
503 827 240
760 771 702
128 219 129
668 520 247
23 773 951
20 703 406
233 549 152
627 68 641
773 408 636
61 80 222
299 11 681
108 739 525
792 425 348
319 417 547
39 566 491
454 758 602
376 592 788
640 633 299
499 248 945
100 641 401
745 212 282
739 584 318
632 466 588
482 34 204
681 42 294
197 522 884
566 481 216
625 327 178
409 649 446
118 709 11
706 385 370
302 358 784
741 381 200
463 333 831
105 423 177
616 773 865
378 339 450
545 482 806
124 611 5
37 314 722
650 753 686
602 243 930
408 516 444
140 637 672
650 611 794
155 532 694
172 415 90
814 509 99
87 117 366
652 451 889
686 869 933
478 388 548
756 603 936
535 151 332
36 90 991
609 390 108
116 180 609
663 169 432
298 613 328
723 131 348
92 442 222
45 99 601
41 655 397
717 784 583
638 752 189
265 848 990
579 87 260
107 554 116
197 376 346
167 177 370
622 242 643
780 232 498
826 858 641
735 483 938
163 466 454
767 213 429
695 717 159
211 521 816
726 279 413
849 810 236
538 411 975
27 179 915
315 390 712
48 709 887
319 137 16
81 18 184
500 758 338
615 670 628
650 403 351
366 801 547
499 642 909
35 542 147
143 352 381
811 861 15
49 390 643
144 329 742
739 361 520
753 137 529
295 520 914
2 729 623
429 592 450
80 309 662
692 509 464
316 334 104
847 265 449
158 524 668
120 781 567
241 117 884
537 577 433
557 159 792
350 602 951
482 384 289
671 817 238
419 261 840
596 389 306
536 820 192
251 868 856
520 144 637
667 212 635
185 41 170
56 447 356
856 272 36
717 152 304
362 602 857
481 429 946
170 88 775
452 283 56
146 796 981
397 225 927
174 731 665
268 18 727
609 751 754
823 527 634
287 28 166
703 718 640
15 724 977
45 336 339
350 156 506
252 329 259
839 611 3
55 177 24
760 289 826
600 811 679
529 102 853
633 692 246
711 191 829
734 132 876
711 491 820
739 8 127
48 690 988
801 200 961
508 541 234
199 27 65
65 595 684
89 732 486
82 333 637
778 518 822
454 354 432
550 606 498
392 682 849
846 133 656
17 398 144
427 573 746
124 52 900
363 116 42
246 544 930
28 731 762
131 570 880
371 502 731
843 820 360
198 707 259
409 266 72
500 1 279
395 131 353
35 487 282
57 615 168
748 365 421
139 79 857
393 367 950
351 169 958
188 577 780
641 184 293
868 708 110
59 346 107
824 732 412
590 213 186
795 598 196
762 748 845
861 48 877
594 116 561
394 638 115
517 473 111
538 476 9
432 713 366
127 721 249
36 567 221
321 333 928
208 548 105
755 353 680
318 276 832
19 488 564
709 389 130
237 677 184
440 53 91
48 802 196
457 777 64
357 220 607
869 794 54
433 200 324
803 663 434
62 440 40
127 228 680
479 182 205
750 78 557
157 725 676
383 390 981
767 617 741
428 704 302
569 644 377
361 208 736
267 562 789
80 12 235
400 447 800
307 16 882
684 6 800
255 686 93
837 3 434
452 773 833
619 854 227
104 238 518
680 684 538
556 540 779
696 614 981
376 519 705
380 326 755
498 466 925
278 780 37
786 626 183
675 366 436
738 79 952
81 342 579
455 96 129
13 590 388
145 347 189
77 346 189
521 175 37
33 428 158
771 580 1
512 740 11
131 588 690
279 73 635
50 352 263
282 392 28
402 92 521
673 203 84
244 504 498
57 141 594
525 13 542
405 189 681
565 768 749
836 369 582
324 129 56
453 89 142
720 437 346
693 430 499
739 232 465
390 692 866
129 214 309
586 671 144
851 775 355
344 653 108
