17
818 988
205 479 -275
35 23 151
37 778 907
389 458 976
782 161 958
59 773 321
295 455 -296
87 700 -627
423 632 -455
418 243 678
677 608 -474
163 89 544
421 550 654
751 139 803
512 515 -606
404 614 -673
164 673 -894
714 684 692
47 238 -690
596 786 -329
623 412 -18
380 529 355
196 359 -964
580 710 308
88 512 -698
492 57 389
166 571 -634
82 773 935
651 488 -5
351 190 307
630 386 375
452 149 775
679 283 59
64 638 -161
148 207 811
346 400 -562
217 683 -353
618 191 -671
92 216 836
712 636 886
433 605 -40
28 228 -578
501 418 195
737 196 496
276 585 953
470 326 583
343 15 -464
528 214 690
701 148 620
708 142 628
110 134 774
308 805 119
392 108 565
509 53 -644
667 45 -52
52 54 993
541 474 -96
796 265 305
771 540 -32
452 10 734
179 411 547
634 741 921
238 739 88
555 264 692
708 622 976
589 112 -903
366 432 735
666 165 -725
767 697 417
364 390 -520
46 797 152
703 57 -10
550 319 -880
735 312 -868
114 818 -459
711 406 -862
510 293 850
550 64 249
565 695 336
522 730 -841
768 322 67
758 341 127
285 552 -672
771 582 -868
571 349 -637
600 366 -630
36 150 180
262 6 -232
742 521 -93
141 573 535
534 610 451
115 245 -888
47 673 -492
553 704 -514
118 418 283
680 780 113
287 367 -522
709 582 -778
511 529 291
307 380 161
660 428 -475
269 390 -639
145 756 -482
38 312 692
184 738 802
173 138 238
719 233 -876
476 66 164
522 463 -267
252 487 -29
552 167 69
23 292 -798
538 53 -365
680 370 334
430 169 417
397 55 96
668 806 936
722 745 -345
595 204 -476
708 435 331
431 790 992
39 587 -57
569 602 -42
453 248 11
76 648 -177
391 699 -42
346 556 -829
17 194 125
695 522 681
388 738 292
765 470 504
185 157 -929
83 395 -578
670 668 51
361 411 147
122 3 990
522 263 -191
317 798 431
22 140 275
768 356 966
36 680 575
437 288 -172
319 218 419
705 582 688
741 477 863
706 248 646
431 584 -22
150 732 133
97 132 218
13 597 930
427 130 835
430 594 -481
150 293 -848
466 78 -765
529 287 -256
718 369 -545
581 44 -269
491 113 -313
604 264 660
303 139 732
604 171 527
728 235 -251
199 677 -591
43 654 -626
391 420 115
9 60 -884
65 537 200
467 789 -624
697 311 841
711 579 277
9 350 -973
653 591 -86
241 606 -919
279 73 -328
585 528 -501
495 621 -441
812 365 167
398 244 219
201 544 238
440 262 950
750 335 -332
766 595 175
89 530 -810
350 224 -735
642 422 499
488 710 94
569 187 -235
357 310 -313
728 308 -841
152 395 91
176 702 -596
165 74 743
58 190 -998
524 592 -721
81 11 870
465 519 -738
450 283 903
415 318 389
535 714 8
802 171 719
573 471 -530
635 91 -863
4 558 -299
636 112 -429
349 87 570
324 423 438
795 659 -548
73 541 -659
220 18 -269
742 367 -367
808 45 -128
713 195 86
691 742 992
204 309 437
634 651 536
772 539 -61
403 94 28
242 110 451
81 441 731
454 728 240
216 332 532
604 387 632
331 793 -622
385 755 179
140 505 -737
488 396 361
632 623 846
3 425 96
293 517 155
408 178 -880
163 808 288
456 549 884
673 651 930
269 627 -983
691 68 -98
264 337 -48
504 96 -840
74 491 962
799 199 -193
460 280 -250
