16
955 1944
27 272 17
485 692 30
575 578 485
122 714 970
243 120 960
555 531 34
756 60 841
27 879 493
173 832 630
599 908 549
849 442 20
59 649 212
207 144 461
310 910 847
934 424 658
616 114 8
933 511 592
908 615 575
773 473 215
273 799 722
665 110 827
590 136 643
599 214 124
445 220 326
31 220 293
756 337 375
72 799 998
497 853 288
948 238 237
116 937 311
150 871 169
843 750 735
735 191 497
723 944 941
939 454 284
380 104 47
65 535 467
586 653 631
835 156 475
214 256 116
674 836 677
216 511 477
444 300 398
888 881 806
495 372 844
586 426 488
102 98 758
35 468 540
621 864 273
46 684 47
688 22 628
664 180 898
485 196 835
293 939 347
689 330 645
373 816 812
190 42 153
614 675 516
308 459 861
157 144 543
148 153 383
767 294 729
835 716 926
857 855 458
93 488 918
851 482 556
875 901 723
758 269 430
522 536 694
535 396 633
171 645 419
757 931 140
187 29 451
257 540 983
207 224 2
352 454 781
242 713 600
685 40 357
493 950 930
325 513 723
789 698 642
819 199 735
530 703 494
951 563 779
883 636 384
55 522 640
860 611 446
652 239 300
798 871 678
455 107 994
177 573 441
454 883 59
53 745 908
135 784 867
192 366 188
623 447 949
765 774 896
7 425 990
1 396 996
945 92 518
929 845 832
531 516 765
49 823 635
335 160 199
773 383 22
149 807 32
290 846 932
121 66 691
945 690 203
70 778 725
17 889 970
501 780 732
855 189 93
427 85 685
212 761 801
665 113 229
782 101 845
872 243 704
334 708 144
821 535 976
580 252 497
445 91 282
486 928 118
774 151 361
441 152 627
33 828 482
742 234 926
492 905 784
412 100 38
739 464 835
539 484 229
528 382 837
744 533 938
456 147 63
582 33 835
532 767 61
33 851 578
50 261 886
436 806 268
419 50 249
537 52 563
301 803 861
666 759 516
86 892 933
822 290 285
11 785 95
605 240 969
465 624 377
880 157 430
786 907 507
514 659 840
548 839 953
737 46 274
46 704 297
135 144 392
1 473 664
625 378 444
158 878 303
818 838 144
172 902 332
806 570 901
38 8 384
791 113 196
693 677 641
733 329 303
729 909 322
826 479 229
839 205 237
192 531 573
644 374 205
116 122 812
143 749 188
559 546 678
53 690 817
856 303 310
359 781 959
832 71 315
619 21 761
320 814 426
725 326 957
77 743 784
667 710 319
530 213 162
488 156 898
948 697 442
611 660 473
726 310 16
764 921 22
604 694 481
247 217 725
163 323 936
803 435 198
125 888 584
329 156 223
151 924 239
611 852 554
318 195 963
892 881 694
432 187 163
300 538 810
631 624 328
739 445 832
252 635 902
725 769 841
418 870 136
611 666 759
366 298 555
511 231 814
377 645 503
632 810 393
336 902 243
935 16 784
45 78 803
789 344 360
908 82 57
24 446 727
506 364 74
299 673 40
307 495 150
863 856 482
310 54 966
18 455 105
313 394 787
207 864 541
46 346 42
731 829 167
120 219 734
260 916 762
145 59 95
277 818 328
953 313 851
636 322 219
14 498 64
579 682 583
201 224 510
756 435 9
867 31 864
401 726 151
446 904 331
681 802 735
254 201 797
454 797 842
601 517 52
850 578 947
675 635 73
946 240 155
137 109 910
563 640 985
688 602 959
904 360 787
850 194 341
659 683 332
549 445 957
266 56 230
752 174 277
631 953 196
914 151 142
147 146 738
503 469 691
212 85 241
319 608 688
12 496 476
506 542 882
466 85 343
501 661 968
538 740 406
71 174 236
638 598 92
298 177 944
421 241 744
210 915 382
327 159 968
917 547 988
613 515 597
325 737 184
344 850 723
265 561 724
749 84 555
308 704 633
803 934 973
418 384 163
519 292 349
475 446 618
923 468 726
737 69 336
955 646 350
306 490 237
788 686 229
512 725 927
638 896 582
147 160 645
41 54 856
415 668 519
316 443 813
876 321 808
244 88 920
293 217 882
292 119 500
469 948 831
535 929 432
749 645 933
521 42 985
404 603 931
887 335 646
45 435 427
504 299 439
399 315 489
708 350 194
569 666 232
664 370 342
748 96 805
352 256 911
504 942 786
368 814 834
635 542 920
475 914 518
836 842 814
442 189 316
655 145 650
681 670 683
750 701 82
872 796 808
167 323 912
480 400 254
180 772 72
787 417 254
351 879 292
875 847 769
916 216 385
272 293 2
16 888 969
790 609 383
408 699 634
524 429 766
101 639 130
57 20 591
83 691 32
816 955 157
59 582 953
566 856 180
24 334 885
543 926 936
351 362 367
745 817 677
412 809 758
568 66 833
380 555 881
616 579 985
16 579 35
219 532 835
396 853 492
83 514 245
